method,method_name,family,query_id,type_k,scenario,status,claim_status,latency_sec,explanation_words,explanation_chars,input_words,input_chars,claim_count,numerical_claim_count,categorical_claim_count,comparative_claim_count,causal_claim_count,unique_numeric_values
ours,Full NS-XAI,main,Q0021,1,0,ok,ok,42.7,241,1458,198,1350,19,10,3,4,2,10
ours,Full NS-XAI,main,Q0036,1,0,ok,ok,19.47,268,1606,198,1351,15,9,0,5,1,9
ours,Full NS-XAI,main,Q0686,1,0,ok,ok,36.93,228,1385,286,1743,13,13,0,0,0,9
ours,Full NS-XAI,main,Q0701,1,0,ok,ok,30.09,218,1358,289,1766,13,7,1,3,2,7
ours,Full NS-XAI,main,Q0811,1,0,ok,ok,19.05,192,1232,201,1365,12,5,4,2,1,5
ours,Full NS-XAI,main,Q0931,1,0,ok,ok,27.75,261,1633,284,1735,17,16,0,0,1,14
ours,Full NS-XAI,main,Q0941,1,0,ok,ok,29.26,263,1722,289,1758,11,10,0,0,1,8
ours,Full NS-XAI,main,Q0956,1,0,ok,ok,28.33,239,1473,284,1742,22,12,4,4,2,10
ours,Full NS-XAI,main,Q0961,1,0,ok,ok,24.45,241,1481,227,1378,17,15,0,1,1,11
ours,Full NS-XAI,main,Q0151,2,0,ok,ok,28.17,191,1180,230,1394,5,3,2,0,0,3
ours,Full NS-XAI,main,Q0156,2,0,ok,ok,15.82,209,1266,232,1412,11,3,7,1,0,3
ours,Full NS-XAI,main,Q0161,2,0,ok,ok,14.77,183,1085,231,1401,12,7,1,4,0,7
ours,Full NS-XAI,main,Q0166,2,0,ok,ok,15.76,206,1221,231,1408,8,2,5,1,0,2
ours,Full NS-XAI,main,Q0171,2,0,ok,ok,16.52,201,1270,173,1051,10,4,4,1,1,3
ours,Full NS-XAI,main,Q0176,2,0,ok,ok,16.64,187,1214,232,1414,5,4,1,0,0,4
ours,Full NS-XAI,main,Q0181,2,0,ok,ok,16.26,194,1182,198,1197,10,4,4,2,0,4
ours,Full NS-XAI,main,Q0186,2,0,ok,ok,15.5,168,1023,231,1408,8,7,1,0,0,6
ours,Full NS-XAI,main,Q0191,2,0,ok,ok,15.8,188,1203,172,1042,6,5,1,0,0,2
ours,Full NS-XAI,main,Q0196,2,0,ok,ok,14.32,173,1056,174,1063,8,6,2,0,0,4
ours,Full NS-XAI,main,Q0301,3,0,ok,ok,21.43,223,1335,58,398,9,2,3,1,3,2
ours,Full NS-XAI,main,Q0306,3,0,ok,ok,28.82,191,1150,56,382,7,3,3,1,0,3
ours,Full NS-XAI,main,Q0311,3,0,ok,ok,26.81,189,1186,57,386,11,8,1,1,1,6
ours,Full NS-XAI,main,Q0316,3,0,ok,ok,15.19,181,1143,56,389,5,0,4,0,1,0
ours,Full NS-XAI,main,Q0321,3,0,ok,ok,17.34,209,1318,57,398,6,4,1,0,1,3
ours,Full NS-XAI,main,Q0326,3,0,ok,ok,17.19,218,1319,57,386,10,1,7,1,1,1
ours,Full NS-XAI,main,Q0331,3,0,ok,ok,23.63,235,1454,57,388,9,1,7,0,1,1
ours,Full NS-XAI,main,Q0336,3,0,ok,ok,15.72,198,1251,54,376,6,5,0,0,1,5
ours,Full NS-XAI,main,Q1506,3,0,ok,ok,16.99,221,1358,57,385,5,5,0,0,0,4
ours,Full NS-XAI,main,Q1511,3,0,ok,ok,13.48,184,1136,57,393,8,5,0,2,1,3
ours,Full NS-XAI,main,Q0426,4,0,ok,ok,9.13,145,900,40,333,9,2,6,1,0,2
ours,Full NS-XAI,main,Q0431,4,0,ok,ok,7.69,107,700,40,339,4,2,2,0,0,2
ours,Full NS-XAI,main,Q0441,4,0,ok,ok,11.05,152,937,43,347,11,4,5,0,2,2
ours,Full NS-XAI,main,Q0446,4,0,ok,ok,10.38,162,1050,41,338,14,4,9,0,1,2
ours,Full NS-XAI,main,Q0451,4,0,ok,ok,9.46,119,766,38,322,9,5,3,1,0,2
ours,Full NS-XAI,main,Q1531,4,0,ok,ok,10.67,98,615,40,336,5,2,3,0,0,1
ours,Full NS-XAI,main,Q1536,4,0,ok,ok,11.52,149,961,38,323,10,6,3,0,1,2
ours,Full NS-XAI,main,Q0541,5,0,ok,ok,12.96,153,986,166,1016,5,4,1,0,0,2
ours,Full NS-XAI,main,Q0546,5,0,ok,ok,15.16,179,1142,167,1017,6,2,4,0,0,2
ours,Full NS-XAI,main,Q0551,5,0,ok,ok,15.74,164,1026,165,1005,5,3,1,1,0,3
ours,Full NS-XAI,main,Q0556,5,0,ok,ok,15.27,204,1261,165,1007,6,5,1,0,0,3
ours,Full NS-XAI,main,Q0561,5,0,ok,ok,15.34,193,1224,168,1028,4,3,1,0,0,3
ours,Full NS-XAI,main,Q0566,5,0,ok,ok,14.09,174,1093,165,1010,11,3,5,2,1,3
ours,Full NS-XAI,main,Q0571,5,0,ok,ok,18.84,190,1200,166,1013,4,1,2,1,0,1
