method,method_name,family,group,group_value,records,records_with_targets,status_counts,delta_targets,delta_recovered,delta_coverage_rate,sign_matches,sign_match_rate_all,sign_match_rate_recovered,magnitude_n,magnitude_mae,spearman_n,spearman,scalar_targets,scalar_recovered,scalar_coverage_rate,scalar_within_tolerance,scalar_within_tolerance_rate,scalar_mae
ours,Full NS-XAI,main,scenario,0,60,57,"{""no_targets"": 3, ""ok"": 57}",324,134,0.41358024691358025,123,0.37962962962962965,0.917910447761194,72,6.073480958333334,72,0.8526358317534511,20,20,1.0,20,1.0,0.0
ours,Full NS-XAI,main,scenario,1,60,57,"{""no_targets"": 3, ""ok"": 57}",296,137,0.46283783783783783,127,0.42905405405405406,0.927007299270073,97,12.68663663917526,97,0.9238840067495118,20,20,1.0,20,1.0,0.0
ours,Full NS-XAI,main,scenario,2,120,116,"{""no_targets"": 4, ""ok"": 116}",920,291,0.31630434782608696,277,0.3010869565217391,0.9518900343642611,223,20.246398869955243,223,0.8917900879503243,20,20,1.0,20,1.0,0.0
b1,B1 trajectory-only,baseline,scenario,0,60,57,"{""no_targets"": 3, ""ok"": 57}",324,6,0.018518518518518517,2,0.006172839506172839,0.3333333333333333,2,34.315,2,-1.0,20,1,0.05,0,0.0,23.0
b1,B1 trajectory-only,baseline,scenario,1,60,57,"{""no_targets"": 3, ""ok"": 57}",296,10,0.033783783783783786,4,0.013513513513513514,0.4,4,17.765,4,-1.0,20,0,0.0,0,0.0,
b1,B1 trajectory-only,baseline,scenario,2,120,116,"{""no_targets"": 4, ""ok"": 116}",920,18,0.01956521739130435,9,0.009782608695652175,0.5,5,43.398,5,0.5,20,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,scenario,0,60,57,"{""no_targets"": 3, ""ok"": 57}",324,16,0.04938271604938271,6,0.018518518518518517,0.375,5,31.4,5,-0.8,20,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,scenario,1,60,57,"{""no_targets"": 3, ""ok"": 57}",296,23,0.0777027027027027,7,0.02364864864864865,0.30434782608695654,10,20.726000000000003,10,0.00955588483945548,20,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,scenario,2,120,116,"{""no_targets"": 4, ""ok"": 116}",920,18,0.01956521739130435,4,0.004347826086956522,0.2222222222222222,16,29.158125,16,-0.6456203092883173,20,2,0.1,0,0.0,25.5
b4,B4/A1 single-snapshot,baseline_ablation,scenario,0,60,57,"{""no_targets"": 3, ""ok"": 57}",324,23,0.07098765432098765,13,0.040123456790123455,0.5652173913043478,10,25.0343356,10,-0.04923659639173309,20,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,scenario,1,60,57,"{""no_targets"": 3, ""ok"": 57}",296,48,0.16216216216216217,21,0.07094594594594594,0.4375,15,51.7494136,15,0.07738962900588654,20,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,scenario,2,120,116,"{""no_targets"": 4, ""ok"": 116}",920,130,0.14130434782608695,60,0.06521739130434782,0.46153846153846156,11,52.475546636363646,11,-0.2587982160565464,20,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,scenario,0,60,57,"{""no_targets"": 3, ""ok"": 57}",324,46,0.1419753086419753,37,0.11419753086419752,0.8043478260869565,33,15.004282393939393,33,0.6972363857949102,20,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,scenario,1,60,57,"{""no_targets"": 3, ""ok"": 57}",296,86,0.2905405405405405,62,0.20945945945945946,0.7209302325581395,67,23.474478880597008,67,0.791353555443823,20,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,scenario,2,120,116,"{""no_targets"": 4, ""ok"": 116}",920,94,0.10217391304347827,55,0.059782608695652176,0.5851063829787234,72,23.47510983333334,72,0.503222300349667,20,0,0.0,0,0.0,
a3,A3 derived only,ablation,scenario,0,60,57,"{""no_targets"": 3, ""ok"": 57}",324,30,0.09259259259259259,20,0.06172839506172839,0.6666666666666666,2,98.97,2,,20,20,1.0,20,1.0,0.0
a3,A3 derived only,ablation,scenario,1,60,57,"{""no_targets"": 3, ""ok"": 57}",296,23,0.0777027027027027,12,0.04054054054054054,0.5217391304347826,15,84.026,15,0.16876149280356875,20,20,1.0,20,1.0,0.0
a3,A3 derived only,ablation,scenario,2,120,116,"{""no_targets"": 4, ""ok"": 116}",920,215,0.23369565217391305,174,0.1891304347826087,0.8093023255813954,98,10.819285714285709,98,0.8141811143567,20,20,1.0,20,1.0,0.0
a4,A4 fixed reference,ablation,scenario,0,60,57,"{""no_targets"": 3, ""ok"": 57}",324,96,0.2962962962962963,57,0.17592592592592593,0.59375,67,54.50056079104478,67,0.039405880565321884,20,14,0.7,14,0.7,0.0
a4,A4 fixed reference,ablation,scenario,1,60,57,"{""no_targets"": 3, ""ok"": 57}",296,85,0.28716216216216217,60,0.20270270270270271,0.7058823529411765,62,31.955631048387097,62,0.6214926305220805,20,12,0.6,12,0.6,0.0
a4,A4 fixed reference,ablation,scenario,2,120,116,"{""no_targets"": 4, ""ok"": 116}",920,197,0.2141304347826087,120,0.13043478260869565,0.6091370558375635,145,53.33327413103449,145,0.50763138765409,20,20,1.0,20,1.0,0.0
