method,method_name,family,group,group_value,records,records_with_targets,status_counts,delta_targets,delta_recovered,delta_coverage_rate,sign_matches,sign_match_rate_all,sign_match_rate_recovered,magnitude_n,magnitude_mae,spearman_n,spearman,scalar_targets,scalar_recovered,scalar_coverage_rate,scalar_within_tolerance,scalar_within_tolerance_rate,scalar_mae
ours,Full NS-XAI,main,type_k,1,30,30,"{""ok"": 30}",226,104,0.46017699115044247,97,0.42920353982300885,0.9326923076923077,81,36.06954445679015,81,0.7743976475810594,0,0,0.0,0,0.0,
ours,Full NS-XAI,main,type_k,2,30,22,"{""no_targets"": 8, ""ok"": 22}",134,48,0.3582089552238806,43,0.3208955223880597,0.8958333333333334,16,9.825314937500002,16,0.06312384152786295,0,0,0.0,0,0.0,
ours,Full NS-XAI,main,type_k,3,30,30,"{""ok"": 30}",143,110,0.7692307692307693,105,0.7342657342657343,0.9545454545454546,55,7.886785290909093,55,0.8975357485647826,0,0,0.0,0,0.0,
ours,Full NS-XAI,main,type_k,4,30,30,"{""ok"": 30}",0,0,0.0,0,0.0,0.0,0,,0,,60,60,1.0,60,1.0,0.0
ours,Full NS-XAI,main,type_k,5,30,28,"{""no_targets"": 2, ""ok"": 28}",101,36,0.3564356435643564,34,0.33663366336633666,0.9444444444444444,13,0.9130769230769205,13,0.9986216395929746,0,0,0.0,0,0.0,
ours,Full NS-XAI,main,type_k,12,30,30,"{""ok"": 30}",342,106,0.30994152046783624,103,0.30116959064327486,0.9716981132075472,92,1.2770652173913046,92,0.9936885139376302,0,0,0.0,0,0.0,
ours,Full NS-XAI,main,type_k,15,30,30,"{""ok"": 30}",306,65,0.21241830065359477,58,0.1895424836601307,0.8923076923076924,55,30.363636363636342,55,0.7909554648803154,0,0,0.0,0,0.0,
ours,Full NS-XAI,main,type_k,26,30,30,"{""ok"": 30}",288,93,0.3229166666666667,87,0.3020833333333333,0.9354838709677419,80,10.885874999999995,80,0.9678224796122321,0,0,0.0,0,0.0,
b1,B1 trajectory-only,baseline,type_k,1,30,30,"{""ok"": 30}",226,20,0.08849557522123894,11,0.048672566371681415,0.55,2,32.974999999999994,2,-1.0,0,0,0.0,0,0.0,
b1,B1 trajectory-only,baseline,type_k,2,30,22,"{""no_targets"": 8, ""ok"": 22}",134,0,0.0,0,0.0,0.0,0,,0,,0,0,0.0,0,0.0,
b1,B1 trajectory-only,baseline,type_k,3,30,30,"{""ok"": 30}",143,0,0.0,0,0.0,0.0,0,,0,,0,0,0.0,0,0.0,
b1,B1 trajectory-only,baseline,type_k,4,30,30,"{""ok"": 30}",0,0,0.0,0,0.0,0.0,0,,0,,60,1,0.016666666666666666,0,0.0,23.0
b1,B1 trajectory-only,baseline,type_k,5,30,28,"{""no_targets"": 2, ""ok"": 28}",101,0,0.0,0,0.0,0.0,0,,0,,0,0,0.0,0,0.0,
b1,B1 trajectory-only,baseline,type_k,12,30,30,"{""ok"": 30}",342,1,0.0029239766081871343,0,0.0,0.0,1,51.379999999999995,1,,0,0,0.0,0,0.0,
b1,B1 trajectory-only,baseline,type_k,15,30,30,"{""ok"": 30}",306,2,0.006535947712418301,2,0.006535947712418301,1.0,0,,0,,0,0,0.0,0,0.0,
b1,B1 trajectory-only,baseline,type_k,26,30,30,"{""ok"": 30}",288,11,0.03819444444444445,2,0.006944444444444444,0.18181818181818182,8,29.918750000000003,8,-0.36585365853658536,0,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,type_k,1,30,30,"{""ok"": 30}",226,23,0.10176991150442478,7,0.030973451327433628,0.30434782608695654,9,17.875555555555554,9,-0.48074017006186526,0,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,type_k,2,30,22,"{""no_targets"": 8, ""ok"": 22}",134,0,0.0,0,0.0,0.0,0,,0,,0,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,type_k,3,30,30,"{""ok"": 30}",143,0,0.0,0,0.0,0.0,0,,0,,0,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,type_k,4,30,30,"{""ok"": 30}",0,0,0.0,0,0.0,0.0,0,,0,,60,2,0.03333333333333333,0,0.0,25.5
b2,B2 trajectory + policy,baseline,type_k,5,30,28,"{""no_targets"": 2, ""ok"": 28}",101,0,0.0,0,0.0,0.0,0,,0,,0,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,type_k,12,30,30,"{""ok"": 30}",342,0,0.0,0,0.0,0.0,0,,0,,0,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,type_k,15,30,30,"{""ok"": 30}",306,1,0.0032679738562091504,0,0.0,0.0,1,38.0,1,,0,0,0.0,0,0.0,
b2,B2 trajectory + policy,baseline,type_k,26,30,30,"{""ok"": 30}",288,33,0.11458333333333333,10,0.034722222222222224,0.30303030303030304,21,30.09095238095238,21,-0.40484842324077286,0,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,type_k,1,30,30,"{""ok"": 30}",226,52,0.23008849557522124,28,0.12389380530973451,0.5384615384615384,13,21.594182230769228,13,-0.09958744370014012,0,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,type_k,2,30,22,"{""no_targets"": 8, ""ok"": 22}",134,7,0.05223880597014925,2,0.014925373134328358,0.2857142857142857,0,,0,,0,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,type_k,3,30,30,"{""ok"": 30}",143,15,0.1048951048951049,5,0.03496503496503497,0.3333333333333333,6,97.29686733333334,6,0.5393598899705937,0,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,type_k,4,30,30,"{""ok"": 30}",0,0,0.0,0,0.0,0.0,0,,0,,60,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,type_k,5,30,28,"{""no_targets"": 2, ""ok"": 28}",101,0,0.0,0,0.0,0.0,0,,0,,0,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,type_k,12,30,30,"{""ok"": 30}",342,76,0.2222222222222222,37,0.10818713450292397,0.4868421052631579,3,100.49666666666667,3,-0.5,0,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,type_k,15,30,30,"{""ok"": 30}",306,16,0.05228758169934641,10,0.032679738562091505,0.625,2,101.75999999999999,2,-1.0,0,0,0.0,0,0.0,
b4,B4/A1 single-snapshot,baseline_ablation,type_k,26,30,30,"{""ok"": 30}",288,35,0.12152777777777778,12,0.041666666666666664,0.34285714285714286,12,19.525000000000002,12,0.11986930473522743,0,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,type_k,1,30,30,"{""ok"": 30}",226,44,0.19469026548672566,38,0.168141592920354,0.8636363636363636,28,1.5009841071428573,28,0.9274647008893394,0,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,type_k,2,30,22,"{""no_targets"": 8, ""ok"": 22}",134,36,0.26865671641791045,23,0.17164179104477612,0.6388888888888888,19,22.004809315789473,19,0.027719083623650415,0,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,type_k,3,30,30,"{""ok"": 30}",143,77,0.5384615384615384,65,0.45454545454545453,0.8441558441558441,67,14.997347567164176,67,0.8619508840669875,0,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,type_k,4,30,30,"{""ok"": 30}",0,0,0.0,0,0.0,0.0,0,,0,,60,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,type_k,5,30,28,"{""no_targets"": 2, ""ok"": 28}",101,26,0.25742574257425743,9,0.0891089108910891,0.34615384615384615,24,59.154071208333356,24,0.5513419380352534,0,0,0.0,0,0.0,
a2,A2 PCTL only,ablation,type_k,12,30,30,"{""ok"": 30}",342,20,0.05847953216374269,14,0.04093567251461988,0.7,13,17.026428153846155,13,0.8725605187682314,0,0,0.0,0,0.0,
