method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
ours,Full NS-XAI,main,kind,categorical,categorical,174,490,490,124,120,246,0,0.2530612244897959,0.24489795918367346,0.5020408163265306,0.0
ours,Full NS-XAI,main,kind,causal,causal,88,120,0,0,0,0,120,,,,1.0
ours,Full NS-XAI,main,kind,comparative,comparative,94,155,155,48,30,77,0,0.3096774193548387,0.1935483870967742,0.4967741935483871,0.0
ours,Full NS-XAI,main,kind,numerical,numerical,237,1574,1574,1454,52,68,0,0.9237611181702668,0.03303684879288437,0.043202033036848796,0.0
b1,B1 trajectory-only,baseline,kind,categorical,categorical,195,422,422,70,306,46,0,0.16587677725118483,0.7251184834123223,0.10900473933649289,0.0
b1,B1 trajectory-only,baseline,kind,causal,causal,33,43,0,0,0,0,43,,,,1.0
b1,B1 trajectory-only,baseline,kind,comparative,comparative,59,66,66,35,8,23,0,0.5303030303030303,0.12121212121212122,0.3484848484848485,0.0
b1,B1 trajectory-only,baseline,kind,numerical,numerical,240,1690,1690,1490,1,199,0,0.8816568047337278,0.000591715976331361,0.11775147928994083,0.0
b2,B2 trajectory + policy,baseline,kind,categorical,categorical,164,356,356,68,262,26,0,0.19101123595505617,0.7359550561797753,0.07303370786516854,0.0
b2,B2 trajectory + policy,baseline,kind,causal,causal,45,79,0,0,0,0,79,,,,1.0
b2,B2 trajectory + policy,baseline,kind,comparative,comparative,51,71,71,55,5,11,0,0.7746478873239436,0.07042253521126761,0.15492957746478872,0.0
b2,B2 trajectory + policy,baseline,kind,numerical,numerical,238,1246,1246,1041,54,151,0,0.8354735152487961,0.04333868378812199,0.12118780096308186,0.0
b4,B4/A1 single-snapshot,baseline_ablation,kind,categorical,categorical,184,508,508,125,160,223,0,0.24606299212598426,0.31496062992125984,0.4389763779527559,0.0
b4,B4/A1 single-snapshot,baseline_ablation,kind,causal,causal,69,145,0,0,0,0,145,,,,1.0
b4,B4/A1 single-snapshot,baseline_ablation,kind,comparative,comparative,56,101,101,47,15,39,0,0.46534653465346537,0.1485148514851485,0.38613861386138615,0.0
b4,B4/A1 single-snapshot,baseline_ablation,kind,numerical,numerical,180,573,573,536,2,35,0,0.9354275741710296,0.0034904013961605585,0.06108202443280977,0.0
a2,A2 PCTL only,ablation,kind,categorical,categorical,123,277,277,72,32,173,0,0.259927797833935,0.11552346570397112,0.6245487364620939,0.0
a2,A2 PCTL only,ablation,kind,causal,causal,64,116,0,0,0,0,116,,,,1.0
a2,A2 PCTL only,ablation,kind,comparative,comparative,54,78,78,9,1,68,0,0.11538461538461539,0.01282051282051282,0.8717948717948718,0.0
a2,A2 PCTL only,ablation,kind,numerical,numerical,164,602,602,588,4,10,0,0.9767441860465116,0.006644518272425249,0.016611295681063124,0.0
a3,A3 derived only,ablation,kind,categorical,categorical,156,406,406,89,91,226,0,0.21921182266009853,0.22413793103448276,0.5566502463054187,0.0
a3,A3 derived only,ablation,kind,causal,causal,69,160,0,0,0,0,160,,,,1.0
a3,A3 derived only,ablation,kind,comparative,comparative,51,122,122,64,19,39,0,0.5245901639344263,0.1557377049180328,0.319672131147541,0.0
a3,A3 derived only,ablation,kind,numerical,numerical,195,777,777,745,21,11,0,0.9588159588159588,0.02702702702702703,0.014157014157014158,0.0
a4,A4 fixed reference,ablation,kind,categorical,categorical,119,258,258,88,44,126,0,0.34108527131782945,0.17054263565891473,0.4883720930232558,0.0
a4,A4 fixed reference,ablation,kind,causal,causal,65,128,0,0,0,0,128,,,,1.0
a4,A4 fixed reference,ablation,kind,comparative,comparative,65,94,94,44,12,38,0,0.46808510638297873,0.1276595744680851,0.40425531914893614,0.0
a4,A4 fixed reference,ablation,kind,numerical,numerical,225,1151,1151,1090,32,29,0,0.947002606429192,0.02780191138140747,0.02519548218940052,0.0
