method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
ours,Full NS-XAI,main,scenario,0,all,60,611,577,408,53,116,34,0.707105719237435,0.09185441941074524,0.20103986135181975,0.05564648117839607
ours,Full NS-XAI,main,scenario,1,all,60,563,539,380,47,112,24,0.7050092764378478,0.08719851576994433,0.2077922077922078,0.04262877442273535
ours,Full NS-XAI,main,scenario,2,all,120,1165,1103,838,102,163,62,0.7597461468721668,0.09247506799637353,0.14777878513145964,0.05321888412017167
b1,B1 trajectory-only,baseline,scenario,0,all,60,514,502,378,86,38,12,0.7529880478087649,0.17131474103585656,0.07569721115537849,0.023346303501945526
b1,B1 trajectory-only,baseline,scenario,1,all,60,552,541,381,71,89,11,0.7042513863216266,0.13123844731977818,0.1645101663585952,0.019927536231884056
b1,B1 trajectory-only,baseline,scenario,2,all,120,1155,1135,836,158,141,20,0.7365638766519824,0.13920704845814977,0.12422907488986784,0.017316017316017316
b2,B2 trajectory + policy,baseline,scenario,0,all,60,430,414,302,80,32,16,0.7294685990338164,0.1932367149758454,0.07729468599033816,0.037209302325581395
b2,B2 trajectory + policy,baseline,scenario,1,all,60,443,425,285,75,65,18,0.6705882352941176,0.17647058823529413,0.15294117647058825,0.040632054176072234
b2,B2 trajectory + policy,baseline,scenario,2,all,120,879,834,577,166,91,45,0.6918465227817746,0.19904076738609114,0.1091127098321343,0.051194539249146756
b4,B4/A1 single-snapshot,baseline_ablation,scenario,0,all,57,303,269,176,32,61,34,0.654275092936803,0.11895910780669144,0.22676579925650558,0.11221122112211221
b4,B4/A1 single-snapshot,baseline_ablation,scenario,1,all,58,321,301,192,36,73,20,0.6378737541528239,0.11960132890365449,0.2425249169435216,0.06230529595015576
b4,B4/A1 single-snapshot,baseline_ablation,scenario,2,all,117,703,612,340,109,163,91,0.5555555555555556,0.1781045751633987,0.26633986928104575,0.12944523470839261
a2,A2 PCTL only,ablation,scenario,0,all,45,236,218,145,9,64,18,0.6651376146788991,0.04128440366972477,0.29357798165137616,0.07627118644067797
a2,A2 PCTL only,ablation,scenario,1,all,47,258,230,163,8,59,28,0.7086956521739131,0.034782608695652174,0.2565217391304348,0.10852713178294573
a2,A2 PCTL only,ablation,scenario,2,all,103,579,509,361,20,128,70,0.7092337917485265,0.03929273084479371,0.25147347740667975,0.12089810017271158
a3,A3 derived only,ablation,scenario,0,all,57,327,296,203,17,76,31,0.6858108108108109,0.057432432432432436,0.25675675675675674,0.09480122324159021
a3,A3 derived only,ablation,scenario,1,all,59,355,308,225,20,63,47,0.7305194805194806,0.06493506493506493,0.20454545454545456,0.1323943661971831
a3,A3 derived only,ablation,scenario,2,all,117,783,701,470,94,137,82,0.6704707560627675,0.1340941512125535,0.19543509272467904,0.10472541507024266
a4,A4 fixed reference,ablation,scenario,0,all,60,410,358,287,20,51,52,0.8016759776536313,0.055865921787709494,0.1424581005586592,0.12682926829268293
a4,A4 fixed reference,ablation,scenario,1,all,60,435,401,313,27,61,34,0.7805486284289277,0.06733167082294264,0.15211970074812967,0.07816091954022988
a4,A4 fixed reference,ablation,scenario,2,all,120,786,744,622,41,81,42,0.8360215053763441,0.05510752688172043,0.10887096774193548,0.05343511450381679
