method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
ours,Full NS-XAI,main,type_k,1,all,30,444,425,327,36,62,19,0.7694117647058824,0.08470588235294117,0.14588235294117646,0.04279279279279279
ours,Full NS-XAI,main,type_k,2,all,30,260,258,146,27,85,2,0.5658914728682171,0.10465116279069768,0.32945736434108525,0.007692307692307693
ours,Full NS-XAI,main,type_k,3,all,30,200,175,126,18,31,25,0.72,0.10285714285714286,0.17714285714285713,0.125
ours,Full NS-XAI,main,type_k,4,all,30,175,159,89,1,69,16,0.559748427672956,0.006289308176100629,0.4339622641509434,0.09142857142857143
ours,Full NS-XAI,main,type_k,5,all,30,207,203,146,36,21,4,0.7192118226600985,0.17733990147783252,0.10344827586206896,0.01932367149758454
ours,Full NS-XAI,main,type_k,12,all,30,371,340,250,16,74,31,0.7352941176470589,0.047058823529411764,0.21764705882352942,0.08355795148247978
ours,Full NS-XAI,main,type_k,15,all,30,253,241,178,32,31,12,0.7385892116182573,0.13278008298755187,0.12863070539419086,0.04743083003952569
ours,Full NS-XAI,main,type_k,26,all,30,429,418,364,36,18,11,0.8708133971291866,0.0861244019138756,0.0430622009569378,0.02564102564102564
b1,B1 trajectory-only,baseline,type_k,1,all,30,237,231,180,31,20,6,0.7792207792207793,0.1341991341991342,0.08658008658008658,0.02531645569620253
b1,B1 trajectory-only,baseline,type_k,2,all,30,333,328,229,47,52,5,0.698170731707317,0.14329268292682926,0.15853658536585366,0.015015015015015015
b1,B1 trajectory-only,baseline,type_k,3,all,30,278,268,200,44,24,10,0.746268656716418,0.16417910447761194,0.08955223880597014,0.03597122302158273
b1,B1 trajectory-only,baseline,type_k,4,all,30,315,310,233,33,44,5,0.7516129032258064,0.1064516129032258,0.14193548387096774,0.015873015873015872
b1,B1 trajectory-only,baseline,type_k,5,all,30,226,223,153,39,31,3,0.6860986547085202,0.17488789237668162,0.13901345291479822,0.01327433628318584
b1,B1 trajectory-only,baseline,type_k,12,all,30,337,331,244,49,38,6,0.7371601208459214,0.14803625377643503,0.1148036253776435,0.017804154302670624
b1,B1 trajectory-only,baseline,type_k,15,all,30,246,240,180,37,23,6,0.75,0.15416666666666667,0.09583333333333334,0.024390243902439025
b1,B1 trajectory-only,baseline,type_k,26,all,30,249,247,176,35,36,2,0.7125506072874493,0.1417004048582996,0.145748987854251,0.008032128514056224
b2,B2 trajectory + policy,baseline,type_k,1,all,30,270,256,195,46,15,14,0.76171875,0.1796875,0.05859375,0.05185185185185185
b2,B2 trajectory + policy,baseline,type_k,2,all,30,196,193,126,57,10,3,0.6528497409326425,0.29533678756476683,0.05181347150259067,0.015306122448979591
b2,B2 trajectory + policy,baseline,type_k,3,all,30,237,214,150,31,33,23,0.7009345794392523,0.14485981308411214,0.1542056074766355,0.0970464135021097
b2,B2 trajectory + policy,baseline,type_k,4,all,30,199,199,128,52,19,0,0.6432160804020101,0.2613065326633166,0.09547738693467336,0.0
b2,B2 trajectory + policy,baseline,type_k,5,all,30,169,165,111,37,17,4,0.6727272727272727,0.22424242424242424,0.10303030303030303,0.023668639053254437
b2,B2 trajectory + policy,baseline,type_k,12,all,30,218,207,149,36,22,11,0.7198067632850241,0.17391304347826086,0.10628019323671498,0.05045871559633028
b2,B2 trajectory + policy,baseline,type_k,15,all,30,193,186,129,38,19,7,0.6935483870967742,0.20430107526881722,0.10215053763440861,0.03626943005181347
b2,B2 trajectory + policy,baseline,type_k,26,all,30,270,253,176,24,53,17,0.6956521739130435,0.09486166007905138,0.20948616600790515,0.06296296296296296
b4,B4/A1 single-snapshot,baseline_ablation,type_k,1,all,30,236,210,137,21,52,26,0.6523809523809524,0.1,0.24761904761904763,0.11016949152542373
b4,B4/A1 single-snapshot,baseline_ablation,type_k,2,all,30,191,188,95,21,72,3,0.5053191489361702,0.11170212765957446,0.3829787234042553,0.015706806282722512
b4,B4/A1 single-snapshot,baseline_ablation,type_k,3,all,29,123,83,46,7,30,40,0.5542168674698795,0.08433734939759036,0.3614457831325301,0.3252032520325203
b4,B4/A1 single-snapshot,baseline_ablation,type_k,4,all,23,54,44,0,0,44,10,0.0,0.0,1.0,0.18518518518518517
b4,B4/A1 single-snapshot,baseline_ablation,type_k,5,all,30,133,133,112,13,8,0,0.8421052631578947,0.09774436090225563,0.06015037593984962,0.0
b4,B4/A1 single-snapshot,baseline_ablation,type_k,12,all,30,240,200,94,59,47,40,0.47,0.295,0.235,0.16666666666666666
b4,B4/A1 single-snapshot,baseline_ablation,type_k,15,all,30,146,130,80,27,23,16,0.6153846153846154,0.2076923076923077,0.17692307692307693,0.1095890410958904
b4,B4/A1 single-snapshot,baseline_ablation,type_k,26,all,30,204,194,144,29,21,10,0.7422680412371134,0.14948453608247422,0.10824742268041238,0.049019607843137254
a2,A2 PCTL only,ablation,type_k,1,all,30,202,195,130,6,59,7,0.6666666666666666,0.03076923076923077,0.30256410256410254,0.034653465346534656
a2,A2 PCTL only,ablation,type_k,2,all,30,179,177,113,5,59,2,0.6384180790960452,0.02824858757062147,0.3333333333333333,0.0111731843575419
a2,A2 PCTL only,ablation,type_k,3,all,30,157,133,111,7,15,24,0.8345864661654135,0.05263157894736842,0.11278195488721804,0.15286624203821655
a2,A2 PCTL only,ablation,type_k,4,all,9,37,19,0,0,19,18,0.0,0.0,1.0,0.4864864864864865
a2,A2 PCTL only,ablation,type_k,5,all,30,143,140,114,10,16,3,0.8142857142857143,0.07142857142857142,0.11428571428571428,0.02097902097902098
a2,A2 PCTL only,ablation,type_k,12,all,30,184,149,109,6,34,35,0.7315436241610739,0.040268456375838924,0.22818791946308725,0.19021739130434784
a2,A2 PCTL only,ablation,type_k,15,all,30,149,136,92,3,41,13,0.6764705882352942,0.022058823529411766,0.3014705882352941,0.087248322147651
a2,A2 PCTL only,ablation,type_k,26,all,6,22,8,0,0,8,14,0.0,0.0,1.0,0.6363636363636364
a3,A3 derived only,ablation,type_k,1,all,29,244,232,181,22,29,12,0.7801724137931034,0.09482758620689655,0.125,0.04918032786885246
