method,method_name,family,group,group_value,kind,records,claim_total,graded_total,V+,V-,U,N/A,v_pos_rate,v_neg_rate,u_rate,na_rate_all_claims
ours,Full NS-XAI,main,type_k,1,categorical,22,58,58,16,15,27,0,0.27586206896551724,0.25862068965517243,0.46551724137931033,0.0
ours,Full NS-XAI,main,type_k,1,causal,15,19,0,0,0,0,19,,,,1.0
ours,Full NS-XAI,main,type_k,1,comparative,22,55,55,24,8,23,0,0.43636363636363634,0.14545454545454545,0.41818181818181815,0.0
ours,Full NS-XAI,main,type_k,1,numerical,30,312,312,287,13,12,0,0.9198717948717948,0.041666666666666664,0.038461538461538464,0.0
ours,Full NS-XAI,main,type_k,2,categorical,29,90,90,10,19,61,0,0.1111111111111111,0.2111111111111111,0.6777777777777778,0.0
ours,Full NS-XAI,main,type_k,2,causal,2,2,0,0,0,0,2,,,,1.0
ours,Full NS-XAI,main,type_k,2,comparative,17,22,22,5,7,10,0,0.22727272727272727,0.3181818181818182,0.45454545454545453,0.0
ours,Full NS-XAI,main,type_k,2,numerical,29,146,146,131,1,14,0,0.8972602739726028,0.00684931506849315,0.0958904109589041,0.0
ours,Full NS-XAI,main,type_k,3,categorical,19,60,60,31,16,13,0,0.5166666666666667,0.26666666666666666,0.21666666666666667,0.0
ours,Full NS-XAI,main,type_k,3,causal,17,25,0,0,0,0,25,,,,1.0
ours,Full NS-XAI,main,type_k,3,comparative,7,9,9,0,0,9,0,0.0,0.0,1.0,0.0
ours,Full NS-XAI,main,type_k,3,numerical,29,106,106,95,2,9,0,0.8962264150943396,0.018867924528301886,0.08490566037735849,0.0
ours,Full NS-XAI,main,type_k,4,categorical,21,62,62,2,1,59,0,0.03225806451612903,0.016129032258064516,0.9516129032258065,0.0
ours,Full NS-XAI,main,type_k,4,causal,13,16,0,0,0,0,16,,,,1.0
ours,Full NS-XAI,main,type_k,4,comparative,4,4,4,0,0,4,0,0.0,0.0,1.0,0.0
ours,Full NS-XAI,main,type_k,4,numerical,30,93,93,87,0,6,0,0.9354838709677419,0.0,0.06451612903225806,0.0
ours,Full NS-XAI,main,type_k,5,categorical,28,80,80,34,35,11,0,0.425,0.4375,0.1375,0.0
ours,Full NS-XAI,main,type_k,5,causal,4,4,0,0,0,0,4,,,,1.0
ours,Full NS-XAI,main,type_k,5,comparative,12,15,15,8,1,6,0,0.5333333333333333,0.06666666666666667,0.4,0.0
ours,Full NS-XAI,main,type_k,5,numerical,29,108,108,104,0,4,0,0.9629629629629629,0.0,0.037037037037037035,0.0
ours,Full NS-XAI,main,type_k,12,categorical,23,68,68,9,11,48,0,0.1323529411764706,0.16176470588235295,0.7058823529411765,0.0
ours,Full NS-XAI,main,type_k,12,causal,18,31,0,0,0,0,31,,,,1.0
ours,Full NS-XAI,main,type_k,12,comparative,15,22,22,3,3,16,0,0.13636363636363635,0.13636363636363635,0.7272727272727273,0.0
ours,Full NS-XAI,main,type_k,12,numerical,30,250,250,238,2,10,0,0.952,0.008,0.04,0.0
ours,Full NS-XAI,main,type_k,15,categorical,14,31,31,4,14,13,0,0.12903225806451613,0.45161290322580644,0.41935483870967744,0.0
ours,Full NS-XAI,main,type_k,15,causal,9,12,0,0,0,0,12,,,,1.0
ours,Full NS-XAI,main,type_k,15,comparative,6,7,7,2,0,5,0,0.2857142857142857,0.0,0.7142857142857143,0.0
ours,Full NS-XAI,main,type_k,15,numerical,30,203,203,172,18,13,0,0.8472906403940886,0.08866995073891626,0.06403940886699508,0.0
ours,Full NS-XAI,main,type_k,26,categorical,18,41,41,18,9,14,0,0.43902439024390244,0.21951219512195122,0.34146341463414637,0.0
ours,Full NS-XAI,main,type_k,26,causal,10,11,0,0,0,0,11,,,,1.0
ours,Full NS-XAI,main,type_k,26,comparative,11,21,21,6,11,4,0,0.2857142857142857,0.5238095238095238,0.19047619047619047,0.0
ours,Full NS-XAI,main,type_k,26,numerical,30,356,356,340,16,0,0,0.9550561797752809,0.0449438202247191,0.0,0.0
b1,B1 trajectory-only,baseline,type_k,1,categorical,21,48,48,10,31,7,0,0.20833333333333334,0.6458333333333334,0.14583333333333334,0.0
b1,B1 trajectory-only,baseline,type_k,1,causal,6,6,0,0,0,0,6,,,,1.0
b1,B1 trajectory-only,baseline,type_k,1,comparative,7,8,8,7,0,1,0,0.875,0.0,0.125,0.0
b1,B1 trajectory-only,baseline,type_k,1,numerical,30,175,175,163,0,12,0,0.9314285714285714,0.0,0.06857142857142857,0.0
b1,B1 trajectory-only,baseline,type_k,2,categorical,26,60,60,8,45,7,0,0.13333333333333333,0.75,0.11666666666666667,0.0
b1,B1 trajectory-only,baseline,type_k,2,causal,5,5,0,0,0,0,5,,,,1.0
b1,B1 trajectory-only,baseline,type_k,2,comparative,6,7,7,3,1,3,0,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0
b1,B1 trajectory-only,baseline,type_k,2,numerical,30,261,261,218,1,42,0,0.8352490421455939,0.0038314176245210726,0.16091954022988506,0.0
b1,B1 trajectory-only,baseline,type_k,3,categorical,24,56,56,12,42,2,0,0.21428571428571427,0.75,0.03571428571428571,0.0
b1,B1 trajectory-only,baseline,type_k,3,causal,5,10,0,0,0,0,10,,,,1.0
b1,B1 trajectory-only,baseline,type_k,3,comparative,7,7,7,1,2,4,0,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0
b1,B1 trajectory-only,baseline,type_k,3,numerical,30,205,205,187,0,18,0,0.9121951219512195,0.0,0.08780487804878048,0.0
b1,B1 trajectory-only,baseline,type_k,4,categorical,22,39,39,4,32,3,0,0.10256410256410256,0.8205128205128205,0.07692307692307693,0.0
b1,B1 trajectory-only,baseline,type_k,4,causal,5,5,0,0,0,0,5,,,,1.0
b1,B1 trajectory-only,baseline,type_k,4,comparative,7,8,8,5,1,2,0,0.625,0.125,0.25,0.0
b1,B1 trajectory-only,baseline,type_k,4,numerical,30,263,263,224,0,39,0,0.8517110266159695,0.0,0.1482889733840304,0.0
b1,B1 trajectory-only,baseline,type_k,5,categorical,27,64,64,13,36,15,0,0.203125,0.5625,0.234375,0.0
b1,B1 trajectory-only,baseline,type_k,5,causal,2,3,0,0,0,0,3,,,,1.0
b1,B1 trajectory-only,baseline,type_k,5,comparative,12,14,14,8,3,3,0,0.5714285714285714,0.21428571428571427,0.21428571428571427,0.0
b1,B1 trajectory-only,baseline,type_k,5,numerical,30,145,145,132,0,13,0,0.9103448275862069,0.0,0.0896551724137931,0.0
b1,B1 trajectory-only,baseline,type_k,12,categorical,29,58,58,5,49,4,0,0.08620689655172414,0.8448275862068966,0.06896551724137931,0.0
b1,B1 trajectory-only,baseline,type_k,12,causal,4,6,0,0,0,0,6,,,,1.0
